R/theta	delta	nu
0.261893	242.819	0.0121251
0.261238	240.892	0.0121659
0.262925	241.882	0.012103
0.25787	242.473	0.0122469
0.263319	242.727	0.0120734
0.26774	239.634	0.0120702
0.262107	239.873	0.012053
0.260079	243.749	0.0121585
0.263532	241.295	0.0121307
0.263139	239.609	0.0121664
0.265041	244.409	0.0120714
0.258842	243.195	0.0121769
0.262908	240.691	0.0121341
0.260961	244.294	0.01208
0.264368	243.3	0.0120187
0.258531	242.111	0.0121342
0.260183	243.864	0.0121068
0.260439	242.265	0.0121038
0.262502	238.782	0.0121738
0.262454	243.817	0.012172
0.261547	244.436	0.0121645
0.255921	244.422	0.0121471
0.262323	240.87	0.0120443
0.259023	244.871	0.0119992
0.266256	238.046	0.0121109
0.259751	244.213	0.0120863
0.262285	242.273	0.0121274
0.264236	240.001	0.0120188
0.262501	239.607	0.0120271
0.257363	242.726	0.0121716
0.260878	245.419	0.0120876
0.263611	244.857	0.0120788
0.260871	243.312	0.0121011
0.26185	241.679	0.012126
0.260785	244.993	0.012064
0.264563	237.561	0.0121638
0.263493	238.275	0.01219
0.264065	242.192	0.012227
0.262873	242.393	0.012164
0.263053	241.049	0.0120867
0.261814	243.668	0.0120619
0.259092	241.398	0.0121076
0.260738	243.823	0.0122068
0.260503	243.69	0.0121847
0.26089	245.998	0.0122149
0.264357	242.253	0.0121767
0.262029	242.463	0.0121463
0.261579	241.129	0.0121013
0.261411	239.976	0.0121108
0.25867	244.419	0.0121713
0.25615	243.782	0.0121663
0.26184	244.021	0.0121035
0.259267	243.771	0.0121669
0.2606	245.849	0.012036
0.263938	241.192	0.0122157
0.260029	241.998	0.0121058
0.258329	243.095	0.0121412
0.258862	243.306	0.0120849
0.265218	239.867	0.0120915
0.25988	240.975	0.0121347
0.265929	242.527	0.012102
0.263171	239.462	0.0120973
0.264653	243.15	0.0121594
0.265519	243.303	0.0121457
0.262914	240.47	0.012212
0.258779	240.729	0.0121788
0.262614	243.291	0.0120651
0.256223	240.298	0.0121831
0.26218	242.633	0.0122308
0.259333	243.54	0.0120774
0.259199	242.197	0.0121318
0.262658	238.274	0.0121674
0.259142	245.592	0.0121925
0.260725	239.808	0.0121184
0.258715	239.435	0.012196
0.25914	240.403	0.012161
0.263744	245.777	0.0121181
0.263277	243.007	0.012034
0.261942	242.685	0.0121213
0.263602	241.02	0.0120295
0.262361	242.647	0.0119677
0.257311	241.111	0.0122055
0.266001	241.029	0.0121545
0.258346	240.248	0.0120278
0.260357	241.823	0.0120509
0.259988	246.64	0.0121647
0.263873	242.85	0.0120777
0.259564	244.794	0.0121032
0.263117	242.287	0.0122193
0.263792	243.662	0.0121042
0.263471	240.306	0.0120488
0.267123	244.071	0.0120126
0.266041	240.005	0.0120322
0.259075	243.868	0.0120478
0.257866	241.765	0.012211
0.259733	240.279	0.012171
0.265763	243.962	0.0121144
0.265287	241.519	0.012192
0.262492	240.923	0.0121089
0.263092	243.048	0.0121286
