R/theta	delta	nu
0.267558	247.939	0.0118454
0.268329	250.514	0.0118656
0.264097	251.788	0.0118849
0.267694	252.793	0.0118333
0.265499	251.972	0.0118829
0.262739	252.631	0.0118275
0.263876	249.959	0.0118834
0.267256	251.111	0.0118756
0.263611	248.495	0.0118079
0.272827	251.182	0.0118189
0.268889	247.455	0.0118195
0.263338	250.72	0.0118612
0.268207	254.012	0.0118509
0.267822	254.082	0.0117838
0.268631	249.78	0.0118008
0.267554	246.306	0.0118639
0.266466	254.76	0.0117189
0.263106	248.302	0.0119111
0.263694	246.884	0.0118811
0.261984	252.981	0.0119057
0.263089	252.077	0.0118821
0.267231	246.76	0.0118384
0.274083	247.842	0.0118514
0.263125	253.149	0.011754
0.267308	252.044	0.0119108
0.260141	250.646	0.0119383
0.2676	254.724	0.011775
0.263595	255.691	0.0118111
0.265844	249.727	0.0118572
0.266521	250.479	0.0117669
0.268389	247.789	0.0119421
0.263739	246.295	0.0117973
0.265775	253.728	0.011822
0.267545	248.164	0.0118787
0.268019	250.41	0.0119229
0.266296	250.261	0.0118735
0.265812	252.05	0.0117392
0.269161	250.691	0.011796
0.264478	253.021	0.0119906
0.263185	250.271	0.0118577
0.26438	249.666	0.0118145
0.262101	256.172	0.0118583
0.266801	246.694	0.0117821
0.268547	251.995	0.0118162
0.26672	251	0.0118057
0.269476	256.974	0.0118103
0.265169	250.743	0.011865
0.267959	249.829	0.0119045
0.267013	250.935	0.0118037
0.265354	249.72	0.0118333
0.268895	249.296	0.0118926
0.269923	249.416	0.0117645
0.265602	253.304	0.011781
0.269426	249.171	0.0118202
0.266456	253.021	0.0119458
0.267736	253.318	0.0118288
0.266692	254.001	0.0117927
0.267616	251.219	0.0118049
0.26697	246.979	0.0117451
0.268286	250.472	0.011875
0.263055	249.854	0.0119001
0.264728	252.584	0.011782
0.266168	248.802	0.0119344
0.267097	250.078	0.0117929
0.265412	250.847	0.0118643
0.269823	249.786	0.0118642
0.265344	249.034	0.0118861
0.267974	253.069	0.0118757
0.268171	250.206	0.0117543
0.268278	249.437	0.0118721
0.264247	249.263	0.0118735
0.266986	247.387	0.0118536
0.262493	249.749	0.0118987
0.262394	252.169	0.0117717
0.261611	247.808	0.0119201
0.266845	251.783	0.0118027
0.265462	253.578	0.0119263
0.267367	250.277	0.0117919
0.269307	250.629	0.0119056
0.262375	252.577	0.0117324
0.265674	255.911	0.0117662
0.26019	250.877	0.0118757
0.269424	251.928	0.0118533
0.264963	249.463	0.011803
0.26653	253.05	0.0117622
0.270083	253.907	0.0117745
0.268373	248.969	0.0118071
0.26861	249.735	0.0117833
0.267716	252.437	0.0118337
0.262365	253.899	0.0118867
0.265928	251.654	0.0118839
0.266132	251.106	0.0118869
0.268467	253.394	0.0117835
0.267188	248.556	0.0119002
0.270862	249.427	0.0117721
0.266427	253.447	0.0118546
0.26659	243.737	0.0118757
0.26527	250.425	0.0119093
0.264353	252.467	0.011845
0.267753	250.148	0.0119026
