st	sample_id	name
1	4060	SRX1051368
5	17767	SRX2219190
6	4199	SRX1051516
7	4084	SRX1051395
8	14465	ERX204897
9	589	ERX110364
10	10730	SRX864954
12	4106	SRX1051417
15	4101	SRX1051412
20	40654	ERX110372
22	341	ERX094780
25	4179	SRX1051493
26	17757	SRX2219177
30	4167	SRX1051481
34	4237	SRX1051556
36	614	ERX110407
39	4204	SRX1051522
45	4290	SRX477027
46	23655	ERX385155
49	28339	ERX139321
50	4109	SRX1051420
54	23092	SRX1051309
59	4123	SRX1051434
71	1663	ERX221133
72	4278	SRX477009
78	4188	SRX1051504
80	3322	ERX552176
81	15210	ERX385391
88	2779	ERX470724
93	17986	SRX456475
94	5401	ERX110870
95	7879	ERX385327
97	3703	ERX910050
101	17790	SRX2219265
105	549	ERX105473
109	20348	SRX476963
121	2785	ERX470730
123	4169	SRX1051483
125	4019	SRX1051322
126	23942	ERX1033560
130	675	ERX120720
132	2934	ERX490281
133	1690	ERX221167
136	2947	ERX490295
138	1134	ERX152020
146	440	ERX1033578
149	621	ERX110417
151	1715	ERX221199
152	3701	ERX910048
177	1641	ERX212158
182	4130	SRX1051441
188	4120	SRX1051431
216	7111	ERX276099
218	353	ERX100648
219	6076	ERX139448
225	40373	SRX2122523
227	679	ERX120724
228	3344	ERX552208
229	624	ERX110422
230	11801	ERX110677
232	12063	ERX113973
239	37312	ERX676585
243	20395	SRX2369545
247	931	ERX147798
250	4000	SRX1051301
254	1799	ERX267690
291	4094	SRX1051405
333	15208	ERX385388
338	17804	SRX2219480
352	1710	ERX221193
361	23100	SRX1051502
398	1677	ERX221148
419	31740	ERX490237
425	34641	SRX866194
433	3633	ERX589419
446	37980	ERX152017
478	3444	ERX556677
479	375	ERX1027819
481	2854	ERX490180
508	23097	SRX1051572
509	5779	ERX1285998
521	1777	ERX267668
522	31732	ERX490324
552	4287	SRX477024
580	7782	ERX385118
582	4091	SRX1051402
599	21788	ERX284165
605	40636	ERX110351
611	3905	ERX979780
630	7933	ERX385423
646	7786	ERX385123
692	982	ERX1492889
700	10731	SRX864956
701	2970	ERX490319
707	1803	ERX267696
712	2972	ERX490321
718	905	ERX139326
730	5777	ERX1285993
737	12194	ERX1268913
750	2824	ERX490129
752	4484	SRX887117
772	2550	ERX360772
779	3528	ERX556762
789	12337	ERX1269245
816	20066	ERX212156
828	11771	ERX110631
830	5564	ERX113350
890	1781	ERX267672
901	17786	SRX2219221
913	12359	ERX1269274
923	29940	SRX2147155
946	4183	SRX1051497
1016	3229	ERX552062
1021	841	ERX139249
1073	30262	ERX221156
1074	30271	ERX221179
1094	15034	ERX376396
1126	1684	ERX221160
1153	4234	SRX1051553
1163	8015	ERX385528
1165	4192	SRX1051508
1207	599	ERX110382
1218	2897	ERX490232
1224	7870	ERX385312
1232	4501	SRX887142
1245	1424	ERX186628
1247	1707	ERX221189
1290	3704	ERX910051
1352	260	ERX067791
1526	636	ERX120678
1532	7930	ERX385418
1534	4034	SRX1051339
1535	7963	ERX385470
1536	34160	ERX384688
1540	6140	ERX139517
1560	3427	ERX556656
1564	4277	SRX477008
1570	409	ERX1033539
1571	1002	ERX1492910
1579	1431	ERX186635
1580	31755	ERX186615
1581	981	ERX1492888
1582	1395	ERX186596
1583	979	ERX1492886
1586	1372	ERX186568
1649	3260	ERX552100
1693	4050	SRX1051358
1709	1583	ERX212094
1729	31710	ERX490131
1739	2618	ERX455892
1743	2615	ERX455889
1764	1797	ERX267688
1797	2800	ERX470745
1820	2774	ERX470719
1859	1714	ERX221198
1943	641	ERX120683
1944	1754	ERX267643
1945	2704	ERX470605
1956	877	ERX139294
1957	870	ERX139284
1958	1752	ERX267641
2011	2662	ERX455939
2014	756	ERX132283
2024	823	ERX132371
2031	600	ERX110385
2046	973	ERX147854
2047	15086	ERX384694
2126	3694	ERX910041
2150	2838	ERX490159
2160	7680	ERX360785
2161	6005	ERX139357
2173	790	ERX132327
2179	1131	ERX152013
2188	6006	ERX139358
2197	4419	SRX887024
2255	7955	ERX385461
2257	2700	ERX460162
2273	661	ERX120705
2274	596	ERX110374
2305	3634	ERX589420
2328	418	ERX1033553
2361	1757	ERX267646
2371	477	ERX104859
2377	433	ERX1033570
2391	6210	ERX139609
2417	15046	ERX376412
2430	2761	ERX470705
2437	15043	ERX376407
2438	27072	ERX376432
2439	27031	ERX376440
2440	11786	ERX110650
2443	27047	ERX376477
2444	27059	ERX376484
2445	7691	ERX376490
2452	15064	ERX376448
2460	990	ERX1492898
2488	2925	ERX490270
2490	2713	ERX470614
2491	31681	ERX490254
2508	2414	ERX359400
2533	12495	ERX1285974
2569	5771	ERX1285972
2573	1128	ERX152010
2616	1756	ERX267645
2626	12322	ERX1269223
2639	2626	ERX455900
2640	2630	ERX455904
2675	2640	ERX455914
2676	2350	ERX359306
2682	23982	ERX1033583
2689	12318	ERX1269214
2750	11864	ERX110757
2766	23940	ERX1033551
2767	39625	ERX460155
2826	2465	ERX359459
2849	23955	ERX1033561
2893	314	ERX094751
2894	625	ERX110424
2898	22903	ERX197834
2899	1488	ERX197824
2905	591	ERX110366
2916	522	ERX105445
2934	6782	ERX197833
2944	2431	ERX359417
3044	2958	ERX490306
3058	2965	ERX490314
3061	435	ERX1033572
3074	8018	ERX385531
3087	6283	ERX152041
3088	2359	ERX359315
3090	2378	ERX359340
3091	2592	ERX455866
3092	2698	ERX460160
3093	1355	ERX186358
3094	1809	ERX275992
3095	808	ERX132355
3096	20075	ERX212124
3097	839	ERX139247
3098	1117	ERX151999
3101	1914	ERX284138
3102	1897	ERX284121
3103	39019	ERX209354
3104	1144	ERX152032
3105	2617	ERX455891
3106	883	ERX139300
3107	850	ERX139260
3108	1338	ERX186340
3109	1162	ERX152056
3110	1182	ERX152079
3111	1324	ERX186326
