Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.261564	3.27859e-06	20867.5	79779.5
1/delta	0.00412611	8.15719e-10	20870.9	5.05825e+06
nu	0.0121083	2.39423e-09	61234.7	5.05727e+06
3528_ERX556762_ST779	5.76055e-05	8.11057e-11	40.9145	710252
4484_SRX887117_ST752	1.61406e-05	2.27063e-11	11.4734	710840
2972_ERX490321_ST712	9.58472e-05	1.34971e-10	68.0643	710133
28339_ERX139321_ST49	7.95007e-05	1.1193e-10	56.4671	710272
17786_SRX2219221_ST901	7.58834e-05	1.06838e-10	53.8974	710267
12242_ERX1269074_ST3786	6.01652e-05	8.46817e-11	42.7466	710487
1340_ERX186342_ST3124	4.1599e-05	5.85362e-11	29.5625	710654
4279_SRX477010_ST3869	7.58515e-05	1.06836e-10	53.8533	709984
2838_ERX490159_ST2150	0.000108339	1.52688e-10	76.8715	709546
1707_ERX221189_ST1247	2.0162e-05	2.83648e-11	14.3314	710811
596_ERX110374_ST2274	8.10416e-06	1.13999e-11	5.76124	710899
2615_ERX455889_ST1743	6.76508e-06	9.5161e-12	4.80935	710909
2965_ERX490314_ST3058	0.000103955	1.47264e-10	73.3829	705911
1974_ERX328680_ST3129	6.13898e-05	8.64198e-11	43.6093	710367
5779_ERX1285998_ST509	0.00172002	2.71294e-09	1090.5	634006
2662_ERX455939_ST2011	0.000107563	1.51527e-10	76.3553	709863
5382_ERX110848_ST3315	7.9317e-05	1.11676e-10	56.3343	710243
1522_ERX209321_ST3130	3.07169e-05	4.32281e-11	21.8267	710576
21788_ERX284165_ST599	4.12525e-05	5.80528e-11	29.3142	710603
1710_ERX221193_ST352	0.00017094	2.41054e-10	121.219	709134
589_ERX110364_ST9	0.000137573	1.93821e-10	97.6485	709794
2550_ERX360772_ST772	0.000973454	1.46887e-09	645.131	662724
1395_ERX186596_ST1582	1.74245e-05	2.45133e-11	12.3857	710819
17986_SRX456475_ST93	0.00207219	3.44786e-09	1245.41	601008
1781_ERX267672_ST890	0.0012733	1.93204e-09	839.159	659044
7815_ERX385233_ST3469	6.11336e-05	8.60992e-11	43.4071	710037
4127_SRX1051438_ST3351	4.02765e-05	5.66863e-11	28.6172	710517
1708_ERX221191_ST3134	3.49181e-05	4.91316e-11	24.8165	710705
4019_SRX1051322_ST125	4.65577e-05	6.55226e-11	33.082	710560
3509_ERX556743_ST3811	2.28435e-05	3.21381e-11	16.237	710792
10730_SRX864954_ST10	0.00245189	3.93919e-09	1526.14	622435
7864_ERX385303_ST3442	3.75862e-05	5.28874e-11	26.7119	710684
7955_ERX385461_ST2255	3.62436e-05	5.09975e-11	25.7581	710694
3260_ERX552100_ST1649	3.57458e-05	5.03088e-11	25.3984	710528
4101_SRX1051412_ST15	3.60365e-05	5.07175e-11	25.6051	710533
3024_ERX490383_ST3615	1.39367e-05	1.96113e-11	9.904	710644
522_ERX105445_ST2916	1.48083e-05	2.08318e-11	10.5265	710851
3017_ERX490372_ST3616	9.25312e-05	1.30275e-10	65.7228	710277
12225_ERX1269028_ST3785	6.76523e-06	9.51632e-12	4.80947	710909
440_ERX1033578_ST146	6.97234e-05	9.81828e-11	49.5133	710139
4055_SRX1051363_ST3436	2.0163e-05	2.83662e-11	14.3321	710811
12289_ERX1269140_ST3791	9.4466e-06	1.32884e-11	6.71549	710890
3566_ERX556803_ST3763	9.73716e-05	1.37109e-10	69.1509	710175
15194_ERX385344_ST3453	2.82063e-05	3.96851e-11	20.0477	710753
6283_ERX152041_ST3087	3.89193e-05	5.47639e-11	27.6589	710674
22903_ERX197834_ST2898	5.50157e-05	7.74262e-11	39.0918	710557
2897_ERX490232_ST1218	4.80019e-05	6.75775e-11	34.0969	710324
1183_ERX152080_ST3112	8.67721e-05	1.22169e-10	61.6309	710262
408_ERX1033538_ST3649	3.35341e-05	4.71841e-11	23.8329	710708
2640_ERX455914_ST2675	0.00011395	1.60504e-10	80.8988	709951
23100_SRX1051502_ST361	0.000933329	1.39362e-09	625.063	669714
30262_ERX221156_ST1073	0.00126489	2.00064e-09	799.723	632245
4169_SRX1051483_ST123	2.28435e-05	3.21381e-11	16.237	710792
30271_ERX221179_ST1074	2.01549e-05	2.83549e-11	14.3263	710809
1897_ERX284121_ST3102	5.23209e-05	7.36317e-11	37.1779	710575
14448_ERX204858_ST3310	1.88287e-05	2.64886e-11	13.3838	710822
2951_ERX490299_ST3721	0.000104996	1.47883e-10	74.546	709991
17757_SRX2219177_ST26	5.36637e-05	7.55225e-11	38.1315	710565
1512_ERX209308_ST3114	5.3648e-05	7.55006e-11	38.1203	710564
4228_SRX1051547_ST3458	6.08445e-05	8.56514e-11	43.2223	710374
1706_ERX221188_ST3127	4.96436e-05	6.98619e-11	35.2765	710595
3905_ERX979780_ST611	8.4509e-05	1.1897e-10	60.0301	710339
15208_ERX385388_ST333	3.89082e-05	5.47485e-11	27.6509	710671
3704_ERX910051_ST1290	0.0010023	1.50565e-09	667.225	665692
2430_ERX359416_ST3138	6.2133e-05	8.74644e-11	44.1381	710380
12284_ERX1269132_ST3790	2.01584e-05	2.83598e-11	14.3288	710811
3724_ERX926274_ST3894	4.09015e-06	5.75325e-12	2.90781	710929
981_ERX1492888_ST1581	4.08334e-06	5.74367e-12	2.90296	710928
4242_SRX1051561_ST3452	5.76052e-05	8.10745e-11	40.9297	710521
2713_ERX470614_ST2490	0.000141077	1.98859e-10	100.085	709433
1663_ERX221133_ST71	6.84087e-05	9.62883e-11	48.6014	710457
