Node	Beg	End
2965|ERX490314|ST3058	12780	19397
5779|ERX1285998|ST509	4319	5585
5779|ERX1285998|ST509	12822	13380
5779|ERX1285998|ST509	148792	148815
5779|ERX1285998|ST509	305462	305630
5779|ERX1285998|ST509	316864	317008
5779|ERX1285998|ST509	343506	343797
5779|ERX1285998|ST509	359680	360949
5779|ERX1285998|ST509	388473	391676
5779|ERX1285998|ST509	399744	400792
5779|ERX1285998|ST509	496740	496908
5779|ERX1285998|ST509	509974	510622
5779|ERX1285998|ST509	515468	515987
5779|ERX1285998|ST509	545140	546198
5779|ERX1285998|ST509	609899	610148
5779|ERX1285998|ST509	658070	658428
5779|ERX1285998|ST509	673882	675614
5779|ERX1285998|ST509	691062	691588
2550|ERX360772|ST772	5394	6189
2550|ERX360772|ST772	41918	42038
2550|ERX360772|ST772	45267	45713
2550|ERX360772|ST772	206623	207619
2550|ERX360772|ST772	213834	214035
2550|ERX360772|ST772	400351	402082
2550|ERX360772|ST772	458433	458565
2550|ERX360772|ST772	614960	615531
2550|ERX360772|ST772	634102	634434
2550|ERX360772|ST772	674782	675761
2550|ERX360772|ST772	690455	692401
17986|SRX456475|ST93	3404	3599
17986|SRX456475|ST93	4928	7577
17986|SRX456475|ST93	9635	12195
17986|SRX456475|ST93	30673	35099
17986|SRX456475|ST93	38524	46081
17986|SRX456475|ST93	49425	52134
17986|SRX456475|ST93	73888	74686
17986|SRX456475|ST93	87190	87849
17986|SRX456475|ST93	104000	105636
17986|SRX456475|ST93	111827	112205
17986|SRX456475|ST93	114252	114362
17986|SRX456475|ST93	118375	118846
17986|SRX456475|ST93	126092	126595
17986|SRX456475|ST93	145765	146290
17986|SRX456475|ST93	206533	207960
17986|SRX456475|ST93	220685	221168
17986|SRX456475|ST93	269902	270477
17986|SRX456475|ST93	296475	296670
17986|SRX456475|ST93	317476	318043
17986|SRX456475|ST93	342207	344112
17986|SRX456475|ST93	363909	368219
17986|SRX456475|ST93	377007	377796
17986|SRX456475|ST93	389513	391676
17986|SRX456475|ST93	395488	398112
17986|SRX456475|ST93	403969	404894
17986|SRX456475|ST93	435271	435585
17986|SRX456475|ST93	450015	450414
17986|SRX456475|ST93	455675	457512
17986|SRX456475|ST93	519222	519471
17986|SRX456475|ST93	535574	535742
17986|SRX456475|ST93	548105	549227
17986|SRX456475|ST93	559638	560655
17986|SRX456475|ST93	602060	602168
17986|SRX456475|ST93	607543	608033
17986|SRX456475|ST93	609746	609980
17986|SRX456475|ST93	613865	615578
17986|SRX456475|ST93	663393	663705
17986|SRX456475|ST93	666141	677662
1781|ERX267672|ST890	125944	126500
1781|ERX267672|ST890	132013	134512
1781|ERX267672|ST890	266122	266842
1781|ERX267672|ST890	347603	348037
1781|ERX267672|ST890	516313	517223
1781|ERX267672|ST890	599678	600335
1781|ERX267672|ST890	633323	633368
1781|ERX267672|ST890	677029	677585
7815|ERX385233|ST3469	665295	665351
4127|SRX1051438|ST3351	596115	596140
10730|SRX864954|ST10	14935	15610
10730|SRX864954|ST10	49130	49783
10730|SRX864954|ST10	134898	135003
10730|SRX864954|ST10	188466	188839
10730|SRX864954|ST10	346924	349186
10730|SRX864954|ST10	387408	387781
10730|SRX864954|ST10	495996	497130
10730|SRX864954|ST10	599813	601418
23100|SRX1051502|ST361	11883	12072
23100|SRX1051502|ST361	32251	32319
23100|SRX1051502|ST361	38772	40712
23100|SRX1051502|ST361	43945	46183
23100|SRX1051502|ST361	103865	104405
23100|SRX1051502|ST361	118570	119844
23100|SRX1051502|ST361	145468	145765
23100|SRX1051502|ST361	172961	174083
23100|SRX1051502|ST361	192786	192996
