annotation_id	locus_tag	protein_id	gene	product
2	SA_RS00145	WP_001290433.1	.	chromosomal replication initiator protein DnaA
4	SA_RS00155	WP_000249647.1	.	RNA-binding protein
5	SA_RS00160	WP_000775113.1	.	DNA recombination protein RecF
6	SA_RS00165	WP_000255578.1	gyrB	DNA gyrase subunit B
13	SA_RS00200	WP_000186490.1	.	homoserine O-acetyltransferase
14	SA_RS00205	WP_001800884.1	.	membrane protein
18	SA_RS00225	WP_000095328.1	.	adenylosuccinate synthetase
21	SA_RS00240	WP_000101976.1	.	DNA-binding response regulator
22	SA_RS00245	WP_000871607.1	.	PAS domain-containing sensor histidine kinase
23	SA_RS00250	WP_001060140.1	.	hypothetical protein
25	SA_RS00260	WP_000088649.1	.	metallo-hydrolase
110	SA_RS00685	WP_000173891.1	.	L-lactate permease
112	SA_RS00695	WP_000876756.1	.	transcriptional regulator
114	SA_RS00705	WP_000924990.1	.	siderophore ABC transporter permease
115	SA_RS00710	WP_001045111.1	.	iron ABC transporter substrate-binding protein
122	SA_RS00745	WP_001186804.1	.	siderophore biosynthesis protein SbnG
134	SA_RS00805	WP_000874681.1	.	Superoxide dismutase [Mn/Fe] 2
140	SA_RS00835	WP_000667269.1	.	2-deoxyribose-5-phosphate aldolase
141	SA_RS00840	WP_000197806.1	.	phosphopentomutase
165	SA_RS00960	WP_000779504.1	.	UDP-N-acetyl-D-mannosamine dehydrogenase
166	SA_RS00965	WP_000723436.1	.	UDP-N-acetyl glucosamine 2-epimerase
167	SA_RS00970	WP_000480603.1	.	monooxygenase IsdI
169	SA_RS00980	WP_000290397.1	.	aldehyde dehydrogenase
173	SA_RS01000	WP_000171919.1	.	hypothetical protein
183	SA_RS01050	WP_000166931.1	.	hypothetical protein
222	SA_RS01245	WP_000690405.1	.	xylose isomerase
223	SA_RS01250	WP_000603755.1	.	membrane protein
224	SA_RS01255	WP_001008722.1	.	antiporter
228	SA_RS01275	WP_000894660.1	.	formate acetyltransferase
229	SA_RS01280	WP_000911657.1	.	pyruvate formate-lyase-activating enzyme
230	SA_RS01285	WP_000822589.1	.	glycerophosphoryl diester phosphodiesterase
243	SA_RS01350	WP_000773989.1	.	membrane protein
246	SA_RS01365	WP_001031880.1	.	L-lactate dehydrogenase
252	SA_RS01395	WP_000531476.1	.	PTS sugar transporter subunit IIA
261	SA_RS01440	WP_000594817.1	.	CDP-glycerol--glycerophosphate glycerophosphotransferase
262	SA_RS01445	WP_000872486.1	.	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
263	SA_RS01450	WP_000610204.1	.	ribitol-5-phosphate dehydrogenase
268	SA_RS01475	WP_000645452.1	.	DNA-binding response regulator
269	SA_RS01480	WP_001792906.1	.	antiholin-like protein LrgA
270	SA_RS01485	WP_000607067.1	.	antiholin-like protein LrgB
277	SA_RS01520	WP_000182746.1	.	ribokinase
278	SA_RS01525	WP_000747873.1	.	D-ribose pyranase
327	SA_RS01770	WP_000936718.1	.	N-acetylmannosamine-6-phosphate 2-epimerase
340	SA_RS01835	WP_000699538.1	.	PTS lactose transporter subunit IIB
350	SA_RS01885	WP_000157630.1	.	membrane protein
359	SA_RS01930	WP_001246008.1	.	transcriptional regulator
364	SA_RS01955	WP_001790583.1	.	hypothetical protein
366	SA_RS01965	WP_000195907.1	.	metal-dependent hydrolase
368	SA_RS01975	WP_000077317.1	.	bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase
370	SA_RS01985	WP_000655692.1	.	cystathionine gamma-synthase
373	SA_RS02000	WP_000157348.1	.	hypothetical protein
376	SA_RS02015	WP_001261460.1	.	30S ribosomal protein S6
377	SA_RS02020	WP_000934799.1	.	single-stranded DNA-binding protein
384	SA_RS02055	WP_001055897.1	.	transcriptional regulator
391	SA_RS02090	WP_000930514.1	.	alkyl hydroperoxide reductase subunit F
392	SA_RS02095	WP_000052781.1	.	alkyl hydroperoxide reductase subunit C
393	SA_RS02100	WP_001287099.1	.	NADPH-dependent oxidoreductase
400	SA_RS02135	WP_000421410.1	.	xanthine phosphoribosyltransferase
402	SA_RS02145	WP_000264071.1	.	IMP dehydrogenase
445	SA_RS02360	WP_000831496.1	.	hypothetical protein
446	SA_RS02365	WP_001790022.1	.	membrane protein
447	SA_RS02370	WP_000565813.1	.	phosphatase
448	SA_RS02375	WP_001220811.1	.	carboxylesterase
449	SA_RS02380	WP_000828719.1	.	sodium-dependent transporter
458	SA_RS02425	WP_000183668.1	.	GNAT family acetyltransferase
459	SA_RS02430	WP_000994678.1	.	hypothetical protein
469	SA_RS02480	WP_001167828.1	.	acetyltransferase
471	SA_RS02490	WP_001213992.1	.	hypothetical protein
472	SA_RS02495	WP_000559159.1	.	recombination protein RecR
480	SA_RS02535	WP_001272126.1	.	thymidylate kinase
483	SA_RS02550	WP_000344334.1	.	DNA polymerase III subunit delta'
484	SA_RS02555	WP_001134194.1	.	signal peptidase II
485	SA_RS02560	WP_000375683.1	.	initiation-control protein YabA
487	SA_RS02570	WP_000377064.1	.	hypothetical protein
488	SA_RS02575	WP_000279926.1	.	rRNA (cytidine-2'-O-)-methyltransferase
490	SA_RS02585	WP_001051129.1	.	methionine--tRNA ligase
491	SA_RS02590	WP_000904312.1	.	hydrolase TatD
494	SA_RS02605	WP_001126664.1	.	hypothetical protein
496	SA_RS02615	WP_001269643.1	.	pur operon repressor
498	SA_RS02625	WP_000868999.1	.	stage V sporulation protein G
500	SA_RS02635	WP_001252543.1	glmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
501	SA_RS02640	WP_000933774.1	.	ribose-phosphate pyrophosphokinase
