sample	runtime	price	mutations	simulation	coverage	total_contig_200bp	total_gene	total_contig	total_contig_length	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	coverage_cleanup	coverage_original	total_kmer	total_singleton	total_variant	total_snps	total_indel
NC_002745-10000-MS-50	86.87	0.1	10000	MS	50	487	2932	501	2740446	29005	5469	3693	128	9088	5.16535	299.993	2807522	222261	6399	6086	313
NC_002745-50000-HS-125	108.89	0.13	50000	HS	125	85	4317	214	2792212	544704	13047	154	56	243790	125	300.084	3476441	561448	48483	46016	2467
NC_002745-100-MS-125	112.28	0.13	100	MS	125	32	2602	32	2763087	544217	86346	30666	255	243918	125	299.993	5345916	2556738	100	96	4
NC_002745-10000-EF-125	52.66	0.06	10000	EF	125	37	3013	95	2762768	544129	29081	142	56	243834	125	299.988	2795362	41381	9719	9248	471
NC_002745-0-MS-50	87.58	0.11	0	MS	50	456	2528	458	2735032	33702	5971	4233	137	9085	5.15309	299.993	2799325	218970	0	0	0
NC_002745-100-EF-50	39.08	0.05	100	EF	50	38	2583	80	2759486	324615	34493	190	67	154062	50	299.998	2759748	16330	99	95	4
NC_002745-10000-EF-250	73.61	0.09	10000	EF	250	37	3017	89	2762870	544129	31043	150	56	243833	250	299.988	2834909	80809	9720	9249	471
NC_002745-0-EF-125	50.75	0.06	0	EF	125	38	2577	77	2759553	385598	35838	198	67	185006	125	299.998	2783898	40496	0	0	0
NC_002745-0-EF-300	77.00	0.09	0	EF	300	38	2578	77	2759555	385598	35838	198	67	185006	299.952	299.998	2841136	97581	0	0	0
NC_002745-10000-EF-50	40.02	0.05	10000	EF	50	37	3012	92	2762593	544129	30028	149	56	243834	50	299.988	2770006	16018	9713	9243	470
NC_002745-1000-EF-20	33.42	0.04	1000	EF	20	48	2634	103	2759385	324610	26790	185	59	137057	20	299.998	2751157	6911	967	919	48
NC_002745-100-EF-150	56.30	0.07	100	EF	150	38	2582	80	2759700	385598	34496	178	56	185006	150	299.998	2793838	50355	99	95	4
NC_002745-50000-EF-150	70.72	0.09	50000	EF	150	78	4321	230	2797514	544704	12163	134	56	243790	150	300.084	2829342	49077	48532	46057	2475
NC_002745-0-HS-150	98.03	0.12	0	HS	150	37	2577	79	2759587	385598	34931	185	56	185205	150	299.998	3651241	687456	0	0	0
NC_002745-50000-HS-100	101.75	0.12	50000	HS	100	74	4317	222	2794645	544650	12588	136	56	243790	100	300.084	3347913	475065	48477	46012	2465
NC_002745-1000-HS-125	94.03	0.11	1000	HS	125	39	2636	82	2759891	385599	33657	190	67	184982	125	299.998	3535531	620061	971	921	50
NC_002745-100-HS-200	105.26	0.13	100	HS	200	38	2581	80	2759698	385598	34496	178	56	185006	200	299.998	3876128	813810	99	95	4
NC_002745-0-HS-300	122.78	0.15	0	HS	300	38	2578	79	2759509	385598	34930	196	56	185205	297.781	299.998	4223305	995362	0	0	0
NC_002745-100-HS-250	117.02	0.14	100	HS	250	38	2581	77	2759541	385598	35838	198	67	185006	250	299.998	4067942	914790	99	95	4
NC_002745-10000-HS-300	134.83	0.16	10000	HS	300	36	3013	92	2762924	544129	30031	133	56	243833	297.794	299.988	4207948	983183	9718	9247	471
NC_002745-0-MS-125	107.90	0.13	0	MS	125	32	2598	32	2763105	544217	86347	30666	255	243918	125	299.993	5328281	2540777	2	2	0
NC_002745-50000-MS-150	133.47	0.16	50000	MS	150	6	4370	9	2816453	1828339	312939	248	141	1828339	150	300.073	5704571	2870038	48684	46197	2487
NC_002745-50000-MS-75	88.40	0.11	50000	MS	75	264	4297	285	2805057	78628	9842	5713	128	19148	6.19028	300.073	2863549	163491	35627	33957	1670
NC_002745-1000-EF-250	70.99	0.08	1000	EF	250	39	2636	84	2760113	385599	32858	178	58	184982	250	299.998	2826113	81614	972	922	50
NC_002745-10000-MS-250	147.62	0.18	10000	MS	250	53	3035	62	2771930	544559	44708	596	128	244040	250	299.993	7838874	4950690	9747	9275	472
NC_002745-50000-EF-200	105.70	0.13	50000	EF	200	82	4320	225	2796760	544704	12430	142	56	243790	200	300.084	2845833	65549	48533	46058	2475
NC_002745-0-EF-250	70.02	0.09	0	EF	250	38	2578	77	2759553	385598	35838	198	67	185006	250	299.998	2824373	80851	0	0	0
NC_002745-100-HS-125	101.19	0.12	100	HS	125	38	2582	75	2759372	385598	36791	225	67	185006	125	299.998	3538759	622238	99	95	4
NC_002745-0-HS-100	93.26	0.11	0	HS	100	38	2577	80	2759691	385598	34496	190	56	185205	100	299.998	3404770	537058	0	0	0
NC_002745-1000-EF-150	54.45	0.06	1000	EF	150	38	2637	74	2759558	385599	37291	226	67	184982	150	299.998	2794306	49901	972	922	50
NC_002745-50000-EF-125	65.77	0.08	50000	EF	125	77	4317	233	2797238	544704	12005	131	56	243790	125	300.084	2820711	40488	48532	46057	2475
NC_002745-0-HS-20	79.16	0.1	0	HS	20	66	2562	168	2762130	244812	16441	131	56	95862	20	299.998	2889014	138662	0	0	0
NC_002745-1000-EF-125	50.51	0.06	1000	EF	125	38	2637	74	2759558	385599	37291	226	67	184982	125	299.998	2786216	41837	972	922	50
NC_002745-0-EF-150	55.41	0.07	0	EF	150	38	2577	77	2759553	385598	35838	198	67	185006	150	299.998	2791907	48504	0	0	0
NC_002745-1000-HS-75	86.71	0.1	1000	HS	75	39	2636	76	2759268	324614	36306	229	67	154055	75	299.998	3256252	435762	970	920	50
NC_002745-0-EF-20	32.11	0.04	0	EF	20	49	2568	120	2760595	324602	23004	143	56	137042	20	299.998	2749850	6606	0	0	0
NC_002745-100-HS-75	92.19	0.11	100	HS	75	40	2581	86	2759606	385598	32088	178	56	185205	75	299.998	3258904	437567	99	95	4
