Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.26632	3.37721e-06	21001.4	78857.8
1/delta	0.00398937	7.57681e-10	21005	5.26523e+06
nu	0.0118312	2.24747e-09	62282.6	5.26425e+06
3528|ERX556762|ST779	5.75555e-05	8.10378e-11	40.8777	710231
4484|SRX887117|ST752	1.61317e-05	2.26939e-11	11.467	710836
2972|ERX490321|ST712	9.57873e-05	1.34892e-10	68.019	710104
28339|ERX139321|ST49	7.942e-05	1.11821e-10	56.4077	710245
17786|SRX2219221|ST901	7.58301e-05	1.06766e-10	53.8578	710243
12242|ERX1269074|ST3786	6.01085e-05	8.46042e-11	42.7051	710467
1340|ERX186342|ST3124	4.15748e-05	5.85031e-11	29.5448	710643
4279|SRX477010|ST3869	7.5732e-05	1.06673e-10	53.7657	709947
2838|ERX490159|ST2150	0.000108172	1.52462e-10	76.7474	709497
1707|ERX221189|ST1247	2.01506e-05	2.83489e-11	14.3231	710806
596|ERX110374|ST2274	8.1001e-06	1.13942e-11	5.75834	710897
2615|ERX455889|ST1743	6.76182e-06	9.51154e-12	4.80703	710907
2965|ERX490314|ST3058	0.00010353	1.46694e-10	73.0661	705752
1974|ERX328680|ST3129	6.13329e-05	8.63421e-11	43.5676	710347
5779|ERX1285998|ST509	0.00170804	2.71053e-09	1076.32	630150
2662|ERX455939|ST2011	0.000107428	1.51345e-10	76.2541	709819
5382|ERX110848|ST3315	7.92565e-05	1.11595e-10	56.2892	710215
1522|ERX209321|ST3130	3.06624e-05	4.31522e-11	21.7875	710562
21788|ERX284165|ST599	4.11957e-05	5.79742e-11	29.2731	710587
1710|ERX221193|ST352	0.00017073	2.40782e-10	121.059	709065
589|ERX110364|ST9	0.000137459	1.93673e-10	97.5614	709748
2550|ERX360772|ST772	0.00107092	1.60555e-09	714.313	667011
1395|ERX186596|ST1582	1.74043e-05	2.44851e-11	12.3712	710812
17986|SRX456475|ST93	0.0022226	3.76281e-09	1312.84	590676
1781|ERX267672|ST890	0.00126813	1.92988e-09	833.295	657105
7815|ERX385233|ST3469	6.10586e-05	8.59974e-11	43.3519	710006
4127|SRX1051438|ST3351	4.02532e-05	5.66545e-11	28.6	710503
1708|ERX221191|ST3134	3.4898e-05	4.9104e-11	24.8019	710696
4019|SRX1051322|ST125	4.6496e-05	6.54374e-11	33.0373	710542
3509|ERX556743|ST3811	2.28306e-05	3.21202e-11	16.2277	710786
10730|SRX864954|ST10	0.00243414	3.93443e-09	1505.95	618677
7864|ERX385303|ST3442	3.75637e-05	5.28565e-11	26.6955	710673
7955|ERX385461|ST2255	3.62225e-05	5.09685e-11	25.7427	710684
3260|ERX552100|ST1649	3.57012e-05	5.0247e-11	25.3662	710514
4101|SRX1051412|ST15	3.5981e-05	5.06406e-11	25.5652	710518
3024|ERX490383|ST3615	1.3912e-05	1.95768e-11	9.88635	710636
522|ERX105445|ST2916	1.48002e-05	2.08205e-11	10.5207	710847
3017|ERX490372|ST3616	9.24764e-05	1.30202e-10	65.6815	710252
12225|ERX1269028|ST3785	6.762e-06	9.51179e-12	4.80716	710907
440|ERX1033578|ST146	6.95579e-05	9.79552e-11	49.393	710099
4055|SRX1051363|ST3436	2.01516e-05	2.83504e-11	14.3239	710806
12289|ERX1269140|ST3791	9.44173e-06	1.32816e-11	6.71201	710887
3566|ERX556803|ST3763	9.72789e-05	1.36985e-10	69.0819	710143
15194|ERX385344|ST3453	2.81902e-05	3.96628e-11	20.036	710746
6283|ERX152041|ST3087	3.88967e-05	5.4733e-11	27.6425	710663
22903|ERX197834|ST2898	5.49832e-05	7.73821e-11	39.0678	710542
2897|ERX490232|ST1218	4.79479e-05	6.75034e-11	34.0576	710304
1183|ERX152080|ST3112	8.66828e-05	1.22049e-10	61.5649	710232
408|ERX1033538|ST3649	3.35104e-05	4.71514e-11	23.8158	710698
2640|ERX455914|ST2675	0.000113853	1.60377e-10	80.8256	709911
23100|SRX1051502|ST361	0.00093615	1.40148e-09	625.321	667971
30262|ERX221156|ST1073	0.0012515	1.98801e-09	787.852	629525
4169|SRX1051483|ST123	2.28307e-05	3.21204e-11	16.2277	710786
30271|ERX221179|ST1074	2.0141e-05	2.83356e-11	14.3163	710803
1897|ERX284121|ST3102	5.22902e-05	7.35901e-11	37.1554	710561
