Node	Beg	End
2965_ERX490314_ST3058	12780	19397
5779_ERX1285998_ST509	4319	5585
5779_ERX1285998_ST509	12822	13380
5779_ERX1285998_ST509	70164	70593
5779_ERX1285998_ST509	148792	148815
5779_ERX1285998_ST509	305462	305492
5779_ERX1285998_ST509	316864	317008
5779_ERX1285998_ST509	343506	343797
5779_ERX1285998_ST509	359680	360949
5779_ERX1285998_ST509	388473	391676
5779_ERX1285998_ST509	399744	400792
5779_ERX1285998_ST509	496740	496908
5779_ERX1285998_ST509	509974	510622
5779_ERX1285998_ST509	515468	515987
5779_ERX1285998_ST509	545140	546198
5779_ERX1285998_ST509	609899	610148
5779_ERX1285998_ST509	658070	658428
5779_ERX1285998_ST509	673882	675614
5779_ERX1285998_ST509	691062	691588
2550_ERX360772_ST772	5394	6189
2550_ERX360772_ST772	41246	42038
2550_ERX360772_ST772	51615	51987
2550_ERX360772_ST772	118570	119798
2550_ERX360772_ST772	141755	142008
2550_ERX360772_ST772	289319	289436
2550_ERX360772_ST772	400351	402082
2550_ERX360772_ST772	570621	571231
2550_ERX360772_ST772	611804	612158
2550_ERX360772_ST772	614999	615531
2550_ERX360772_ST772	690455	691846
17986_SRX456475_ST93	3404	3599
17986_SRX456475_ST93	4928	7577
17986_SRX456475_ST93	9635	12174
17986_SRX456475_ST93	23264	24002
17986_SRX456475_ST93	30965	34787
17986_SRX456475_ST93	38524	40209
17986_SRX456475_ST93	41813	46081
17986_SRX456475_ST93	49425	52134
17986_SRX456475_ST93	74212	74686
17986_SRX456475_ST93	87190	87849
17986_SRX456475_ST93	104000	105636
17986_SRX456475_ST93	111827	112205
17986_SRX456475_ST93	114252	114362
17986_SRX456475_ST93	118375	118846
17986_SRX456475_ST93	126092	126595
17986_SRX456475_ST93	145765	146290
17986_SRX456475_ST93	206464	207940
17986_SRX456475_ST93	220685	221318
17986_SRX456475_ST93	269902	270477
17986_SRX456475_ST93	296475	296670
17986_SRX456475_ST93	317704	318043
17986_SRX456475_ST93	342207	344112
17986_SRX456475_ST93	363909	368219
17986_SRX456475_ST93	377007	377796
17986_SRX456475_ST93	389513	391676
17986_SRX456475_ST93	395488	398112
17986_SRX456475_ST93	403960	404894
17986_SRX456475_ST93	435271	435585
17986_SRX456475_ST93	450015	450414
17986_SRX456475_ST93	455675	457512
17986_SRX456475_ST93	510364	511055
17986_SRX456475_ST93	519113	519471
17986_SRX456475_ST93	535574	535742
17986_SRX456475_ST93	548105	549337
17986_SRX456475_ST93	559638	560655
17986_SRX456475_ST93	602060	602168
17986_SRX456475_ST93	607543	608033
17986_SRX456475_ST93	609746	609980
17986_SRX456475_ST93	613865	615578
17986_SRX456475_ST93	663393	663705
17986_SRX456475_ST93	667159	668404
17986_SRX456475_ST93	670149	677662
1781_ERX267672_ST890	125944	126500
1781_ERX267672_ST890	266122	266842
1781_ERX267672_ST890	347603	348037
1781_ERX267672_ST890	516313	517223
1781_ERX267672_ST890	520866	521510
1781_ERX267672_ST890	599678	600335
1781_ERX267672_ST890	633323	633368
1781_ERX267672_ST890	677029	677585
7815_ERX385233_ST3469	665295	665351
4127_SRX1051438_ST3351	596115	596140
10730_SRX864954_ST10	14935	15610
10730_SRX864954_ST10	49130	49783
10730_SRX864954_ST10	134898	135003
10730_SRX864954_ST10	188466	188839
10730_SRX864954_ST10	346924	349186
10730_SRX864954_ST10	387408	387781
10730_SRX864954_ST10	495996	497130
10730_SRX864954_ST10	599813	601418
23100_SRX1051502_ST361	11883	12822
23100_SRX1051502_ST361	38772	40712
23100_SRX1051502_ST361	43945	44999
23100_SRX1051502_ST361	45958	46183
